"","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV"
"2954","THAMES - SOUTH EAST","THAMES SOURCE TO TEDDINGTON (SE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","JUBILEE RIVER",82000,1,"SU",97727,78742,"SU9772778742",497727,178742,"GB106039023231",16,0.3,200.41,9,,,,,,,,,,,,2001-09-27,2009-09-17,17,FALSE
"2955","SOUTHERN - SOLENT & S. DOWNS","SUSSEX ROTHER","RIVER: Natural/semi-natural flowing fresh watercourse","SELBOURNE TRIBUTARY",82003,2,"SU",76930,32390,"SU7693032390",476930,132390,"GB107041012840",,,,,,,,,,,,,,,,2001-08-15,2001-08-15,1,FALSE
"2956","SOUTHERN - SOLENT & S. DOWNS","SUSSEX ROTHER","RIVER: Natural/semi-natural flowing fresh watercourse","SUTTON STREAM",82007,2,"SU",99010,17010,"SU9901017010",499010,117010,"GB107041012810",,,,,,,,,,,,,,,,2002-05-16,2002-05-16,1,FALSE
"2957","THAMES - NORTH EAST","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","SUNBURY CREEK",82017,1,"TQ",10094,67508,"TQ1009467508",510094,167508,"GB106039023232",9,0.1,226.74,9,11.8,18,5,70,20,5,220,,,,2011-01-01,2002-05-17,2010-10-18,16,FALSE
"2958","SOUTHERN - SOLENT & S. DOWNS","WALLINGTON","RIVER: Natural/semi-natural flowing fresh watercourse","WALLINGTON",82058,2,"SU",63230,10060,"SU6323010060",463230,110060,"GB107042016350",20,0.1,5.3,1,,,,,,,,,,,,2002-04-16,2002-04-16,1,FALSE
"2959","SOUTHERN - SOLENT & S. DOWNS","WALLINGTON","RIVER: Natural/semi-natural flowing fresh watercourse","WALLINGTON",82060,2,"SU",60170,9270,"SU6017009270",460170,109270,"GB107042016360",15,2.7,10.6,1,,,,,,,,,,,,2002-04-17,2002-04-17,1,FALSE
"2960","SOUTHERN - SOLENT & S. DOWNS","EAST HAMPSHIRE STREAMS","RIVER: Natural/semi-natural flowing fresh watercourse","CHEESEMANS BRIDGE TRIB.",82061,2,"SU",66150,7700,"SU6615007700",466150,107700,"GB107042016400",35,4.5,2.1,1,,,,,,,,,,,,2002-04-16,2002-04-16,1,FALSE
"2961","SOUTHERN - SOLENT & S. DOWNS","WALLINGTON","RIVER: Natural/semi-natural flowing fresh watercourse","UNNAMED TRIBUTARY OF WALLINGTON",82062,2,"SU",65870,10440,"SU6587010440",465870,110440,"GB107042016400",35,5.3,1.47,1,,,,,,,,,,,,2002-04-16,2012-09-05,19,FALSE
"2962","SOUTHERN - SOLENT & S. DOWNS","WALLINGTON","RIVER: Natural/semi-natural flowing fresh watercourse","UNNAMED TRIBUTARY OF WALLINGTON",82063,2,"SU",66210,9840,"SU6621009840",466210,109840,"GB107042016400",30,2.5,1.8,1,,,,,,,,,,,,2002-04-16,2002-04-16,1,FALSE
"2963","SOUTHERN - SOLENT & S. DOWNS","WALLINGTON","RIVER: Natural/semi-natural flowing fresh watercourse","UNNAMED TRIBUTARY OF WALLINGTON",82065,2,"SU",62220,11320,"SU6222011320",462220,111320,"GB107042016410",25,4,3.7,1,,,,,,,,,,,,2002-04-17,2002-04-17,1,FALSE
"2964","SOUTHERN - SOLENT & S. DOWNS","WALLINGTON","RIVER: Natural/semi-natural flowing fresh watercourse","UNNAMED TRIBUTARY OF WALLINGTON",82066,2,"SU",63640,10290,"SU6364010290",463640,110290,"GB107042016350",25,4,1.9,1,,,,,,,,,,,,2002-04-16,2002-04-16,1,FALSE
"2965","SOUTHERN - SOLENT & S. DOWNS","WALLINGTON","RIVER: Natural/semi-natural flowing fresh watercourse","UNNAMED TRIBUTARY OF WALLINGTON",82067,2,"SU",63270,10140,"SU6327010140",463270,110140,"GB107042016350",20,0.1,2.3,1,,,,,,,,,,,,2002-04-16,2002-04-16,1,FALSE
"2966","SOUTHERN - SOLENT & S. DOWNS","WALLINGTON","RIVER: Natural/semi-natural flowing fresh watercourse","UNNAMED TRIBUTARY OF WALLINGTON",82068,2,"SU",62160,8470,"SU6216008470",462160,108470,"GB107042016400",15,2.7,8,1,,,,,,,,,,,,2002-04-17,2002-04-17,1,FALSE
"2967","SOUTHERN - SOLENT & S. DOWNS","WALLINGTON","RIVER: Natural/semi-natural flowing fresh watercourse","UNNAMED TRIBUTARY OF WALLINGTON",82069,2,"SU",61160,9400,"SU6116009400",461160,109400,"GB107042016360",15,4.7,0.5,1,,,,,,,,,,,,2002-04-17,2002-04-17,1,FALSE
"2968","SOUTHERN - SOLENT & S. DOWNS","WALLINGTON","RIVER: Natural/semi-natural flowing fresh watercourse","UNNAMED TRIBUTARY OF WALLINGTON",82070,2,"SU",60210,9290,"SU6021009290",460210,109290,"GB107042016360",15,6.2,3.7,1,,,,,,,,,,,,2002-04-17,2002-04-17,1,FALSE
"2969","SOUTHERN - KENT & E. SUSSEX","NORTH KENT","RIVER: Natural/semi-natural flowing fresh watercourse","WHITE DRAIN TRIB TRENT WOOD",82071,2,"TR",5543,59296,"TR0554359296",605543,159296,"GB106040018560",,,,,,,,,,,,,,,,2002-04-23,2002-04-23,1,FALSE
"2970","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WEY (SOUTH)",82074,1,"SU",80446,36291,"SU8044636291",480446,136291,"GB106039017720",66.53,1.4,16.7,3,,,,,,,,,,,,2002-09-13,2007-10-17,22,FALSE
"2971","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WEY (SOUTH)",82076,1,"SU",81784,37228,"SU8178437228",481784,137228,"GB106039017720",65,1.4,18.63,3,,,,,,,82.4,,,,2012-10-04,2002-09-13,2006-08-23,17,FALSE
"2972","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WEY (SOUTH)",82077,1,"SU",82350,38742,"SU8235038742",482350,138742,"GB106039017780",61,1.4,21.5,3,,,,,,,,,,,,2002-09-13,2004-11-05,12,FALSE
"2973","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WEY (SOUTH)",82078,1,"SU",84860,41950,"SU8486041950",484860,141950,"GB106039017780",51.6,1.7,27.4,3,12.5,30,0,54,33,13,82.4,,,,2012-10-04,2002-09-13,2019-09-05,39,FALSE
"2974","SOUTHERN - SOLENT & S. DOWNS","ADUR","RIVER: Natural/semi-natural flowing fresh watercourse","RUSPER TRIBUTARY",82097,2,"TQ",18457,36845,"TQ1845736845",518457,136845,"GB107041018020",,,,,,,,,,,,,,,,2002-05-09,2002-05-09,1,FALSE
"2975","SOUTHERN - SOLENT & S. DOWNS","ADUR","RIVER: Natural/semi-natural flowing fresh watercourse","RUSPER TRIBUTARY",82098,2,"TQ",18677,36879,"TQ1867736879",518677,136879,"GB107041018020",,,,,,,,,,,,,,,,2002-05-09,2002-05-09,1,FALSE
"2976","SOUTHERN - SOLENT & S. DOWNS","ADUR","RIVER: Natural/semi-natural flowing fresh watercourse","KINGSFOLD TRIBUTARY",82099,2,"TQ",16703,35991,"TQ1670335991",516703,135991,"GB107041018020",,,,,,,,,,,,,,,,2002-05-09,2002-05-09,1,FALSE
"2977","SOUTHERN - SOLENT & S. DOWNS","ADUR","RIVER: Natural/semi-natural flowing fresh watercourse","KINGSFOLD TRIBUTARY",82100,2,"TQ",16818,36227,"TQ1681836227",516818,136227,"GB107041018020",,,,,,,,,,,,,,,,2002-05-09,2002-05-09,1,FALSE
"2978","SOUTHERN - SOLENT & S. DOWNS","ADUR","RIVER: Natural/semi-natural flowing fresh watercourse","KINGSFOLD TRIBUTARY",82101,2,"TQ",16829,36248,"TQ1682936248",516829,136248,"GB107041018020",,,,,,,,,,,,,,,,2002-05-09,2002-05-09,1,FALSE
"2979","SOUTHERN - SOLENT & S. DOWNS","ADUR","RIVER: Natural/semi-natural flowing fresh watercourse","CLOCKHOUSE GILL",82137,2,"TQ",17351,38698,"TQ1735138698",517351,138698,"GB107041018020",,,,,,,,,,,,,,,,2002-05-09,2002-05-09,1,FALSE
"2980","SOUTHERN - KENT & E. SUSSEX","PEVENSEY HAVEN","DYKE: Natural or artificial watercourse primarily used for land drainage","WHITE DYKE",82157,2,"TQ",60730,8200,"TQ6073008200",560730,108200,"GB107041012420",10,1,1.5,1,,,,,,,,,,,,2001-08-07,2006-10-26,2,FALSE
"2981","SOUTH WEST - NORTH WESSEX","BISS","RIVER: Natural/semi-natural flowing fresh watercourse","BRATTON STREAM",82159,1,"ST",91800,52300,"ST9180052300",391800,152300,"GB109053022150",90,13,0.75,1,,,,,,,,,,,,2001-09-04,2002-09-10,2,FALSE
"2982","SOUTHERN - KENT & E. SUSSEX","BEULT","RIVER: Natural/semi-natural flowing fresh watercourse","ULCOMBE STREAM",82161,2,"TQ",84190,47710,"TQ8419047710",584190,147710,"GB106040018330",,,,,,,,,,,,,,,,2002-05-21,2002-05-21,1,FALSE
"2983","SOUTHERN - KENT & E. SUSSEX","BEULT","RIVER: Natural/semi-natural flowing fresh watercourse","ULCOMBE STREAM",82162,2,"TQ",83980,47490,"TQ8398047490",583980,147490,"GB106040018330",,,,,,,,,,,,,,,,2002-05-21,2002-05-21,1,FALSE
"2984","SOUTHERN - KENT & E. SUSSEX","BEULT","RIVER: Natural/semi-natural flowing fresh watercourse","ULCOMBE STREAM",82163,2,"TQ",82570,45760,"TQ8257045760",582570,145760,"GB106040018330",,,,,,,,,,,,,,,,2002-05-21,2002-05-21,1,FALSE
"2985","SOUTHERN - KENT & E. SUSSEX","BEULT","RIVER: Natural/semi-natural flowing fresh watercourse","ULCOMBE STREAM",82164,2,"TQ",82300,45380,"TQ8230045380",582300,145380,"GB106040018330",,,,,,,,,,,,,,,,2002-05-21,2002-05-21,1,FALSE
"2986","THAMES - WEST","OCK","RIVER: Natural/semi-natural flowing fresh watercourse","UFFINGTON BROOK",82165,1,"SU",29440,88410,"SU2944088410",429440,188410,"GB106039023400",87,36,2.5,1,,,,,,,,,,,,2002-05-14,2002-05-14,1,FALSE
"2987","THAMES - WEST","OCK","RIVER: Natural/semi-natural flowing fresh watercourse","UFFINGTON BROOK",82166,1,"SU",29446,87987,"SU2944687987",429446,187987,"GB106039023400",97,20,2,1,,,,,,,,,,,,2002-05-14,2002-05-14,1,FALSE
"2988","THAMES - NORTH EAST","BRENT","RIVER: Natural/semi-natural flowing fresh watercourse","BRENT",82177,1,"TQ",20120,84820,"TQ2012084820",520120,184820,"GB106039023590",,,,,,,,,,,,,,,,2002-03-25,2002-03-25,1,FALSE
"2989","THAMES - NORTH EAST","BRENT","RIVER: Natural/semi-natural flowing fresh watercourse","BRENT",82178,1,"TQ",20100,84730,"TQ2010084730",520100,184730,"GB106039023590",26,3,25,,,,,,,,184,,,,2012-10-04,2002-03-25,2002-03-25,1,FALSE
"2990","SOUTHERN - SOLENT & S. DOWNS","ADUR","RIVER: Natural/semi-natural flowing fresh watercourse","RUSPER TRIBUTARY",82179,2,"TQ",18361,36782,"TQ1836136782",518361,136782,"GB107041018020",,,,,,,,,,,,,,,,2002-05-09,2002-05-09,1,FALSE
"2991","SOUTHERN - SOLENT & S. DOWNS","HAMBLE","RIVER: Natural/semi-natural flowing fresh watercourse","WINTERSHILL TRIB",82198,2,"SU",54258,16810,"SU5425816810",454258,116810,"GB107042016280",25,6.3,2.5,1,,,,,,,173,,,,2014-03-25,2002-05-23,2010-04-08,9,FALSE
"2992","SOUTHERN - SOLENT & S. DOWNS","HAMBLE","RIVER: Natural/semi-natural flowing fresh watercourse","HAMBLE",82199,2,"SU",54268,16806,"SU5426816806",454268,116806,"GB107042016280",25,6.6,2.7,1,,,,,,,160,,,,2012-10-04,2002-05-23,2010-04-08,9,FALSE
"2993","SOUTHERN - KENT & E. SUSSEX","CUCKMERE","RIVER: Natural/semi-natural flowing fresh watercourse","CUCKMERE",82220,2,"TQ",60770,14820,"TQ6077014820",560770,114820,"GB107041012390",,,,,,,,,,,,,,,,2002-02-11,2006-10-26,4,FALSE
"2994","SOUTHERN - KENT & E. SUSSEX","CUCKMERE","RIVER: Natural/semi-natural flowing fresh watercourse","CUCKMERE",82221,2,"TQ",61170,15120,"TQ6117015120",561170,115120,"GB107041012390",,,,,,,,,,,,,,,,2002-02-11,2003-10-31,3,FALSE
"2995","SOUTHERN - SOLENT & S. DOWNS","ARUN","RIVER: Natural/semi-natural flowing fresh watercourse","ARUN TRIB",82222,2,"TQ",11600,30610,"TQ1160030610",511600,130610,"GB107041017950",,,,,,,,,,,,,,,,2001-08-10,2001-08-10,1,FALSE
"2996","SOUTHERN - SOLENT & S. DOWNS","ARUN","RIVER: Natural/semi-natural flowing fresh watercourse","ARUN TRIB",82237,2,"TQ",11600,30720,"TQ1160030720",511600,130720,"GB107041017950",,,,,,,,,,,,,,,,2001-08-10,2001-08-10,1,FALSE
"2997","SOUTHERN - SOLENT & S. DOWNS","ARUN","RIVER: Natural/semi-natural flowing fresh watercourse","ARUN TRIB",82238,2,"TQ",11600,30910,"TQ1160030910",511600,130910,"GB107041017950",,,,,,,,,,,,,,,,2001-08-10,2001-08-10,1,FALSE
"2998","THAMES - SOUTH EAST","THAMES SOURCE TO TEDDINGTON (SE SECTION)","DITCH: Artificial channel used primarily for land drainage","MAIDENHEAD DITCH",82302,1,"SU",89530,80590,"SU8953080590",489530,180590,"GB106039023510",23,0.5,4.171,,,,,,,,,,,,,2002-05-31,2003-10-14,4,FALSE
"2999","THAMES - SOUTH EAST","HOGSMILL","RIVER: Natural/semi-natural flowing fresh watercourse","HOGSMILL",82358,1,"TQ",18400,68690,"TQ1840068690",518400,168690,"GB106039017440",8,1.3,9.1,3,,,,,,,,,,,,2001-09-25,2001-09-25,1,FALSE
"3000","THAMES - SOUTH EAST","HOGSMILL","RIVER: Natural/semi-natural flowing fresh watercourse","HOGSMILL RIVER",82359,1,"TQ",18320,68690,"TQ1832068690",518320,168690,"GB106039017440",8,1.3,9.2,3,,,,,,,200,,,,2012-10-04,2001-09-25,2001-09-25,1,FALSE
"3001","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82377,2,"SU",45616,16103,"SU4561616103",445616,116103,"GB107042022580",,,,,,,,,,,,,,,,2001-10-17,2002-08-01,4,FALSE
"3002","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82378,2,"SU",45644,16113,"SU4564416113",445644,116113,"GB107042022580",,,,,,,,,,,,,,,,2001-10-17,2002-08-01,4,FALSE
"3003","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82379,2,"SU",45502,16001,"SU4550216001",445502,116001,"GB107042022580",,,,,,,,,,,,,,,,2001-10-17,2002-08-01,4,FALSE
"3004","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82380,2,"SU",45518,15949,"SU4551815949",445518,115949,"GB107042022580",,,,,,,,,,,,,,,,2001-10-17,2002-08-01,4,FALSE
"3005","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82381,2,"SU",45798,16586,"SU4579816586",445798,116586,"GB107042022580",,,,,,,,,,,,,,,,2001-10-17,2002-08-01,4,FALSE
"3006","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82382,2,"SU",45884,16642,"SU4588416642",445884,116642,"GB107042022580",,,,,,,,,,,,,,,,2001-10-17,2002-08-13,4,FALSE
"3007","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82383,2,"SU",45752,16265,"SU4575216265",445752,116265,"GB107042022580",,,,,,,,,,,,,,,,2001-10-18,2002-08-01,4,FALSE
"3008","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82384,2,"SU",45940,16572,"SU4594016572",445940,116572,"GB107042022580",,,,,,,,,,,,,,,,2001-10-18,2002-08-01,4,FALSE
"3009","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82386,2,"SU",45715,16377,"SU4571516377",445715,116377,"GB107042022580",,,,,,,,,,,,,,,,2001-10-18,2002-08-01,4,FALSE
"3010","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82387,2,"SU",45784,16539,"SU4578416539",445784,116539,"GB107042022580",,,,,,,,,,,,,,,,2001-10-18,2002-08-01,4,FALSE
"3011","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82388,2,"SU",46056,16638,"SU4605616638",446056,116638,"GB107042022580",,,,,,,,,,,,,,,,2001-11-02,2002-08-13,4,FALSE
"3012","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82389,2,"SU",45973,16762,"SU4597316762",445973,116762,"GB107042022580",,,,,,,,,,,,,,,,2001-11-02,2002-08-13,4,FALSE
"3013","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82390,2,"SU",45991,16924,"SU4599116924",445991,116924,"GB107042022580",,,,,,,,,,,,,,,,2001-11-02,2002-08-13,4,FALSE
"3014","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82391,2,"SU",46014,16948,"SU4601416948",446014,116948,"GB107042022580",,,,,,,,,,,,,,,,2001-10-19,2002-08-14,4,FALSE
"3015","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82392,2,"SU",46079,16959,"SU4607916959",446079,116959,"GB107042022580",,,,,,,,,,,,,,,,2001-10-19,2002-08-14,4,FALSE
"3016","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82393,2,"SU",46142,17059,"SU4614217059",446142,117059,"GB107042022580",,,,,,,,,,,,,,,,2001-10-19,2002-08-14,4,FALSE
"3017","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82394,2,"SU",46000,17008,"SU4600017008",446000,117008,"GB107042022580",,,,,,,,,,,,,,,,2001-10-19,2002-08-14,4,FALSE
"3018","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82395,2,"SU",46065,17097,"SU4606517097",446065,117097,"GB107042022580",,,,,,,,,,,,,,,,2001-10-19,2002-08-14,4,FALSE
"3019","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82396,2,"SU",46151,17236,"SU4615117236",446151,117236,"GB107042022580",,,,,,,,,,,,,,,,2001-10-19,2002-08-14,4,FALSE
"3020","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82397,2,"SU",47340,23474,"SU4734023474",447340,123474,"GB107042022580",,,,,,,,,,,,,,,,2001-11-07,2002-07-29,4,FALSE
"3021","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82398,2,"SU",47412,23410,"SU4741223410",447412,123410,"GB107042022580",,,,,,,,,,,,,,,,2001-11-08,2002-07-29,4,FALSE
"3022","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82417,2,"SU",45814,16306,"SU4581416306",445814,116306,"GB107042022580",,,,,,,,,,,,,,,,2001-10-18,2002-08-01,4,FALSE
"3023","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82418,2,"SU",47258,23189,"SU4725823189",447258,123189,"GB107042022580",,,,,,,,,,,,,,,,2001-11-08,2002-08-19,4,FALSE
"3024","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82419,2,"SU",47191,23176,"SU4719123176",447191,123176,"GB107042022580",,,,,,,,,,,,,,,,2001-11-08,2002-08-19,4,FALSE
"3025","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82420,2,"SU",47259,22745,"SU4725922745",447259,122745,"GB107042022580",,,,,,,,,,,,,,,,2001-11-08,2002-08-19,4,FALSE
"3026","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82421,2,"SU",47301,22776,"SU4730122776",447301,122776,"GB107042022580",,,,,,,,,,,,,,,,2001-11-08,2002-08-19,4,FALSE
"3027","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82422,2,"SU",47306,22780,"SU4730622780",447306,122780,"GB107042022580",,,,,,,,,,,,,,,,2001-11-08,2002-08-19,4,FALSE
"3028","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82423,2,"SU",47259,22565,"SU4725922565",447259,122565,"GB107042022580",,,,,,,,,,,,,,,,2001-11-08,2002-08-19,4,FALSE
"3029","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82424,2,"SU",47218,22954,"SU4721822954",447218,122954,"GB107042022580",,,,,,,,,,,,,,,,2001-11-08,2002-08-19,4,FALSE
"3030","THAMES - SOUTH EAST","THAMES SOURCE TO TEDDINGTON (SE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ODNEY WEIR STREAM",82437,1,"SU",90150,85330,"SU9015085330",490150,185330,"GB106039023233",27,0.3,186.48,8,8.5,15.7,0,72,24,4,217,,,,2012-10-04,2002-05-31,2021-04-16,35,FALSE
"3031","SOUTHERN - SOLENT & S. DOWNS","ADUR","RIVER: Natural/semi-natural flowing fresh watercourse","CLOCKHOUSE GILL",82438,2,"TQ",17320,38480,"TQ1732038480",517320,138480,"GB107041018020",,,,,,,,,,,,,,,,2002-05-09,2002-05-09,1,FALSE
"3032","SOUTHERN - SOLENT & S. DOWNS","ADUR","RIVER: Natural/semi-natural flowing fresh watercourse","CLOCKHOUSE GILL",82439,2,"TQ",17108,39235,"TQ1710839235",517108,139235,"GB107041018020",,,,,,,,,,,,,,,,2002-05-09,2002-05-09,1,FALSE
"3033","THAMES - WEST","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","WINDRUSH",82440,2,"SP",35874,10071,"SP3587410071",435874,210071,"GB106039030440",,,,,,,,,,,,,,,,2001-06-26,2005-06-03,10,FALSE
"3034","SOUTHERN - SOLENT & S. DOWNS","ADUR","RIVER: Natural/semi-natural flowing fresh watercourse","PORTERS GILL",82457,2,"TQ",18400,36794,"TQ1840036794",518400,136794,"GB107041018020",,,,,,,,,,,,,,,,2002-05-09,2002-05-09,1,FALSE
"3035","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82477,2,"SU",45039,15629,"SU4503915629",445039,115629,"GB107042022580",,,,,,,,,,,,,,,,2001-11-06,2002-08-12,4,FALSE
"3036","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82478,2,"SU",45191,15660,"SU4519115660",445191,115660,"GB107042022580",,,,,,,,,,,,,,,,2001-11-06,2002-08-12,4,FALSE
"3037","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82479,2,"SU",45338,15827,"SU4533815827",445338,115827,"GB107042022580",,,,,,,,,,,,,,,,2001-11-06,2002-08-12,4,FALSE
"3038","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82480,2,"SU",45442,15881,"SU4544215881",445442,115881,"GB107042022580",,,,,,,,,,,,,,,,2001-11-06,2002-08-12,4,FALSE
"3039","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82481,2,"SU",45411,15958,"SU4541115958",445411,115958,"GB107042022580",,,,,,,,,,,,,,,,2001-11-06,2002-08-12,4,FALSE
"3040","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82482,2,"SU",45364,16013,"SU4536416013",445364,116013,"GB107042022580",,,,,,,,,,,,,,,,2001-11-06,2002-08-12,4,FALSE
"3041","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82483,2,"SU",45423,16038,"SU4542316038",445423,116038,"GB107042022580",,,,,,,,,,,,,,,,2001-11-06,2002-08-12,4,FALSE
"3042","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82484,2,"SU",45584,16190,"SU4558416190",445584,116190,"GB107042022580",,,,,,,,,,,,,,,,2001-11-06,2002-08-12,4,FALSE
"3043","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82485,2,"SU",45567,16227,"SU4556716227",445567,116227,"GB107042022580",,,,,,,,,,,,,,,,2001-11-07,2002-08-13,4,FALSE
"3044","SOUTHERN - SOLENT & S. DOWNS","ITCHEN","RIVER: Natural/semi-natural flowing fresh watercourse","ITCHEN WATER MEADOWS",82486,2,"SU",45601,16226,"SU4560116226",445601,116226,"GB107042022580",,,,,,,,,,,,,,,,2001-11-07,2002-08-13,4,FALSE
